FID,OBJECTID,SHAPE,NAME,ADRESSE,SE_ANNO_CAD_DATA
AMTOGD.861332,861332,POINT (16.41089241416344 48.19403431050959),"Magistratsabteilung 40 - Soziales, Sozial- und Gesundheitsrecht","3., Thomas-Klestil-Platz 8",
AMTOGD.861333,861333,POINT (16.411006498777336 48.193948629913365),Magistratsabteilung 15 - Gesundheitsdienst der Stadt Wien,"3., Thomas-Klestil-Platz 8",
AMTOGD.859054,859054,POINT (16.37703802072446 48.18962669113869),Wiener Stadtwerke BESTATTUNG WIEN,"4., Goldeggasse 19",
AMTOGD.859059,859059,POINT (16.410090354219363 48.19450326762917),Wiener Krankenanstaltenverbund Direktion,"3., Thomas-Klestil-Platz 7/1",
AMTOGD.859075,859075,POINT (16.350978350855517 48.21635627819722),WIEN ENERGIE Kundendienstzentrum,"9., Spitalgasse 5-9",
AMTOGD.859079,859079,POINT (16.456102971585466 48.22894065572831),Wiener Krankenanstaltenverbund KAV-IT,"22., Stadlauer Stra?e 54",
AMTOGD.860424,860424,POINT (16.425218791128025 48.18454181508556),WIEN ENERGIE Gasnetz,"11., Erdbergstra?e 236",
AMTOGD.860434,860434,POINT (16.35021204426256 48.216018861671785),WIEN ENERGIE Wienstrom,"9., Mariannengasse 4-6",
AMTOGD.860432,860432,POINT (16.35635581965582 48.208475728263224),Wiener Wohnen Direktion,"1., Doblhoffgasse 6",
AMTOGD.860497,860497,POINT (16.41306702892 48.19230582888299),Wiener Stadtwerke Holding AG,"1., Thomas-Klestil-Platz 14",
AMTOGD.860507,860507,POINT (16.359561970692745 48.23365676591926),WIEN ENERGIE Fernw?rme Wien,"9., Spittelauer L?nde 45",
AMTOGD.860508,860508,POINT (16.441663138415983 48.15513229634834),Wiener Stadtwerke Friedh?fe Wien GmbH,"11., Simmeringer Hauptstra?e 339",
AMTOGD.860509,860509,POINT (16.415220369154447 48.18988831475432),Wiener Stadtwerke WIENER LINIEN,"3., Erdbergstra?e 202",
AMTOGD.859038,859038,POINT (16.35198364430666 48.19886881878778),WIEN ENERGIE Haus,"6., Mariahilfer Stra?e 63",
